,Atomic Number,State at 20Â°C,Melting point,Boiling point,Density,Relative Atomic Mass,Atomic Radius,Ionization Energies,Block
0,1,Gas,-259.16,-252.87,8.2e-05,1.008,1.1,1312.05,s
1,2,Gas,,-268.928,0.000164,4.003,1.4,2372.322,s
2,3,Solid,180.5,1342.0,0.534,6.94,1.82,520.22,s
3,4,Solid,1287.0,2468.0,1.85,9.012,1.53,899.504,s
4,5,Solid,2077.0,4000.0,2.34,10.81,1.92,800.637,p
5,6,Solid,3825.0,3825.0,2.8565,12.011,1.7,1086.454,p
6,7,Gas,-210.0,-195.75,0.001145,14.007,1.55,1402.328,p
7,8,Gas,-218.79,-182.96,0.00138,15.999,1.52,1313.942,p
8,9,Gas,-219.67,-188.11,0.001553,18.998,1.47,1681.045,p
9,10,Gas,-248.59,-246.046,0.000825,20.18,1.54,2080.662,p
10,11,Solid,97.794,882.94,0.97,22.99,2.27,495.845,s
11,12,Solid,650.0,1090.0,1.74,24.305,1.73,737.75,s
12,13,Solid,660.323,2519.0,2.7,26.982,1.84,577.539,p
13,14,Solid,1414.0,3265.0,2.32,28.805,2.1,786.518,p
14,15,Solid,44.15,280.5,1.823,30.974,1.8,1011.812,p
15,16,Solid,115.21,444.61,2.07,32.06,1.8,999.589,p
16,17,Gas,-101.5,-34.04,0.0029,35.45,1.75,1251.186,p
17,18,Gas,-189.34,-185.848,0.00163,39.95,1.88,1520.571,p
18,19,Solid,63.5,759.0,0.89,39.098,2.75,418.81,s
19,20,Solid,842.0,1484.0,1.54,40.078,2.31,589.83,s
20,21,Solid,1541.0,2836.0,2.99,44.956,2.15,633.088,d
21,22,Solid,1670.0,3287.0,4.506,47.867,2.11,658.0,d
22,23,Solid,1910.0,3407.0,6.0,50.942,2.07,650.908,d
23,24,Solid,1907.0,2671.0,7.15,51.996,2.06,652.869,d
24,25,Solid,1246.0,2061.0,7.3,54.938,2.05,717.274,d
25,26,Solid,1538.0,2861.0,7.87,55.845,2.04,762.466,d
26,27,Solid,1495.0,2927.0,8.86,58.933,2.0,760.402,d
27,28,Solid,1455.0,2913.0,8.9,58.693,1.97,737.129,d
28,29,Solid,1084.62,2560.0,8.96,63.546,1.96,745.482,d
29,30,Solid,419.527,907.0,7.134,65.38,2.01,906.402,d
30,31,Solid,29.746,2229.0,5.91,69.723,1.87,578.845,p
31,32,Solid,938.25,2833.0,5.32,72.63,2.11,762.179,p
32,33,Solid,616.0,616.0,5.75,74.922,1.85,944.456,p
33,34,Solid,220.8,685.0,4.8,78.971,1.9,940.963,p
34,35,Liquid,-7.2,58.8,3.1,79.904,1.85,1139.859,p
35,36,Gas,-157.37,-153.415,0.003425,83.798,2.02,1350.757,p
36,37,Solid,39.3,688.0,1.53,85.468,3.03,403.032,s
37,38,Solid,777.0,1377.0,2.64,87.62,2.49,549.47,s
38,39,Solid,1522.0,3345.0,4.47,88.906,2.32,599.878,d
39,40,Solid,1854.0,4406.0,6.52,91.224,2.23,640.074,d
40,41,Solid,2477.0,4741.0,8.57,92.906,2.18,652.13,d
41,42,Solid,2622.0,4639.0,10.2,95.95,2.17,684.316,d
42,43,Solid,2157.0,4262.0,11.0,98.0,2.16,702.41,d
43,44,Solid,2333.0,4147.0,12.1,101.07,2.13,710.18,d
44,45,Solid,1963.0,3695.0,12.4,102.906,2.1,719.675,d
45,46,Solid,1554.8,2963.0,12.0,106.42,2.1,804.389,d
46,47,Solid,961.78,2162.0,10.5,107.868,2.11,730.995,d
47,48,Solid,321.069,767.0,8.69,112.414,2.18,867.772,d
48,49,Solid,156.6,2027.0,7.31,114.818,1.93,558.229,p
49,50,Solid,231.928,2586.0,7.287,118.71,2.17,708.581,p
